ID,Wind speed in km/h,Waterfowl population,Wave Action,Turbidity of water (NTUs)
1,5,12,Low,0.9
2,5,30,Low,0.6
3,5,20,Low,0.1
4,5,12,Low,NA
5,5,30,Low,0.2
6,5,NA,Low,0.6
7,10,10,Low,1.3
8,10,60,Low,1.8
9,10,50,Low,2
10,10,85,Low,1.9
11,NA,12,Low,2
12,NA,23,Low,1.8
13,NA,15,Moderate,1.4
14,10,30,Low,1.7
15,NA,6,Moderate,1.8
16,20,18,Moderate,4
17,17,8,Moderate,1.2
18,17,12,Low,2
19,NA,20,Moderate,1
20,13,NA,Moderate,1.6
21,NA,72,Low,1.7
22,NA,NA,None,NA
23,5,44,Low,NA
24,7,6,Low,0.9
25,11,10,Low,0.9
26,26,36,Low,1
27,NA,45,Low,2.5
28,11,15,Low,1.5
29,11,12,Moderate,1.8
30,17,62,Moderate,0.8
31,9,42,Low,0.7
32,15,17,Moderate,0.7
33,6,25,Low,0.7
34,7,12,High,4.5
35,NA,5,Moderate,0.8
36,4,30,Moderate,3.8
37,5,3,Low,1.7
38,9,60,Moderate,0.8
39,24,12,High,6.2
40,24,8,High,1.2
41,22,24,Low,1.4
42,5,7,Low,2.2
43,9,53,Moderate,2.1
44,6,12,Low,1.3
45,NA,NA,Moderate,2.4
46,15,40,Low,1.2
47,5,40,Low,1.1
48,4,10,Low,1.1
49,7,NA,None,0.4
50,5,NA,Low,0.4
51,5,7,Low,0.4
52,5,15,Low,0.5
53,5,5,Low,0.3
54,15,10,Low,0.4
55,4,7,None,0.2
56,27,140,Moderate,0.9
57,26,50,Moderate,2.7
58,9,10,Moderate,2.5
59,10,5,Moderate,1.4
60,5,24,Low,0.1
61,15,40,Moderate,NA
62,9,130,Low,0.2
63,NA,56,Low,1.4
64,20,30,Moderate,2.1
65,5,30,Low,1.5
66,15,25,Low,0.6
67,15,5,Low,1.1
68,17,100,Moderate,1
69,11,60,Low,0.1
70,11,36,Low,1.2
71,8,25,Low,0.9
72,8,15,Moderate,1.3
73,4,50,Low,1.1
74,NA,NA,None,NA
75,NA,4,None,0.1
76,NA,12,Low,4.2
77,NA,NA,None,NA
78,NA,3,Low,5.3
79,NA,NA,Low,5.6
80,NA,6,Low,5.6
81,NA,3,Moderate,4.2
82,NA,4,Low,1.5
83,NA,9,Moderate,1.8
84,NA,10,Moderate,1.6
85,10,10,Low,2.5
86,NA,NA,Moderate,1.7
87,20,NA,None,NA
88,17,13,Moderate,2.1
89,17,2,Low,2
90,NA,50,High,2.5
91,13,10,Low,3.1
92,NA,NA,None,2.2
93,NA,NA,None,NA
94,5,10,Low,NA
95,7,9,Low,1.7
96,11,6,Moderate,1.3
97,26,4,High,2.2
98,NA,50,Low,1.1
99,11,10,Low,1.4
100,11,6,Moderate,1.9
101,17,12,Low,1
102,9,15,Low,0.9
103,15,8,Moderate,1.3
104,6,15,Low,0.7
105,7,3,High,1.9
106,NA,15,Low,0.8
107,4,25,Moderate,4.5
108,5,75,Low,1
109,9,3,Moderate,0.9
110,15,80,Moderate,2.8
111,15,40,Low,1.5
112,15,30,High,0.9
113,15,5,High,0.5
114,15,20,High,4.5
115,15,3,High,2.7
116,19,50,Low,3.4
117,19,200,Low,1.6
118,19,65,Moderate,2.4
119,19,80,Low,1.4
120,10,120,Low,0.3
121,10,80,None,1.8
122,10,75,Low,0.2
123,10,3,Low,0.5
124,10,300,Low,0.6
125,10,6,Low,0.6
126,10,45,Low,1.4
127,10,100,Low,1.2
128,10,30,Low,1.3
129,10,70,Low,1.5
130,13,115,None,0.6
131,13,65,None,0.2
132,13,200,Low,0.3
133,13,NA,Low,0.7
134,13,160,Low,0.6
135,13,24,None,0.5
136,15,1,Low,0.3
137,15,50,Low,20
138,15,60,Low,0.5
139,15,55,Low,2.2
140,24,3,High,2.2
141,NA,50,Low,5.4
142,NA,24,Low,4.4
143,NA,16,Low,4.2
144,NA,26,None,2.2
145,NA,8,Moderate,2.3
146,NA,10,Low,1.1
147,10,20,Low,4.8
148,NA,28,Moderate,1.8
149,20,NA,None,NA
150,17,18,Low,2
151,17,32,Low,2
152,NA,40,Moderate,1.9
153,13,60,Low,14.5
154,NA,15,None,1.7
155,NA,NA,None,NA
156,5,100,Low,NA
157,7,130,Low,1.6
158,11,60,Moderate,1.2
159,26,130,Low,1.1
160,NA,30,Low,2.1
161,11,3,Low,1.9
162,11,8,Moderate,2.1
163,17,40,Low,1.4
164,9,50,Low,1.8
165,15,12,Low,1.5
166,6,60,Low,1
167,7,82,Moderate,1.2
168,NA,220,Low,6.7
169,4,75,Moderate,2.1
170,5,60,Low,8.4
171,9,200,High,1.6
172,24,105,High,1.8
173,24,200,High,6.2
174,22,120,Low,4
175,5,40,Low,7.8
176,9,27,Low,3
177,6,1000,Low,2.2
178,NA,4,Low,2.1
179,15,110,Low,1.9
180,5,85,Low,1.7
181,4,30,None,1.5
182,7,220,None,0.8
183,5,60,Low,1.5
184,5,60,Low,1.8
185,5,40,Low,1.1
186,5,NA,Low,0.7
187,15,60,Low,0.8
188,4,95,None,0.4
189,27,36,Low,0.4
190,26,25,Low,3.7
191,9,40,Moderate,1.4
192,10,29,Low,0.6
193,5,9,Low,0.6
194,15,20,Low,0.6
195,9,36,Low,0.4
196,NA,9,Moderate,1
197,20,10,Moderate,0.8
198,5,2,Low,1.8
199,15,NA,Low,1.2
200,15,20,Low,2.1
201,17,NA,Moderate,2.1
202,11,NA,Low,1.7
203,11,1,Low,2
204,8,NA,Low,1.4
205,8,NA,Moderate,0.6
206,4,15,Low,0.5
207,24,10,High,3.1
208,22,6,Low,2.1
209,5,8,Low,3.2
210,9,13,Low,2.8
211,6,NA,Low,11.1
212,NA,NA,Low,2.3
213,15,32,Low,1.5
214,5,15,Low,1.8
215,4,5,Low,1.2
216,7,3,None,0.5
217,5,60,Low,1.1
218,5,8,Low,0.8
219,5,10,Low,0.5
220,5,NA,Low,1.5
221,15,5,Low,1
222,4,12,None,0.3
223,27,NA,Moderate,2.1
224,26,20,Moderate,3.8
225,9,NA,Moderate,4.8
226,10,6,Moderate,0.6
227,5,24,Low,0.5
228,15,NA,Low,0.1
229,9,6,Low,0.6
230,NA,NA,Low,1.5
231,20,4,Moderate,0.4
232,5,17,Low,0.5
233,15,20,Low,0.6
234,15,4,Low,1.3
235,17,25,Moderate,1.4
236,11,5,Low,1.2
237,11,NA,Low,0.6
238,8,NA,Low,1.4
239,8,25,Moderate,2.6
240,4,NA,Low,4.8
241,NA,NA,None,NA
242,NA,24,None,0.4
243,NA,60,Low,4.6
244,NA,NA,None,NA
245,NA,42,Low,5.4
246,NA,30,Low,5.4
247,NA,200,Moderate,43
248,NA,120,Low,1.5
249,NA,150,Moderate,3.4
250,NA,20,Moderate,2.1
251,10,35,Low,1.8
252,NA,160,Moderate,1.4
253,20,NA,None,NA
254,17,120,Low,2.2
255,17,160,Low,2
256,NA,3,High,2
257,13,NA,Low,1.8
258,NA,24,None,1.3
259,NA,NA,None,NA
260,5,7,Low,NA
261,7,130,Low,1.1
262,11,200,Moderate,1.1
263,26,90,High,1.1
264,NA,25,Low,2.1
265,11,20,Low,1.5
266,11,200,Moderate,1.7
267,17,60,Low,1.3
268,9,190,Low,1.3
269,15,22,Moderate,1
270,6,60,Low,1
271,7,50,Moderate,4.8
272,NA,35,Low,1.4
273,4,40,Moderate,2.1
274,5,25,Low,2.3
275,9,80,High,4.4
276,24,130,High,2
277,24,200,High,5.1
278,22,50,Low,1.9
279,5,30,Low,2.2
280,9,200,Moderate,2.9
281,6,240,Low,2.1
282,NA,10,Low,1.8
283,15,120,Low,1.9
284,5,120,Low,1.9
285,4,80,Low,1
286,7,60,None,0.5
287,5,16,Low,1.1
288,5,50,Low,1.1
289,5,5,Low,0.4
290,5,NA,Low,0.5
291,15,NA,Low,0.6
292,4,120,None,0.2
293,27,80,Low,2
294,26,30,Moderate,4.2
295,9,50,Moderate,1.9
296,10,50,Low,0.6
297,5,50,Low,0.5
298,15,80,Low,0.4
299,9,60,Low,0.5
300,NA,80,Moderate,1.8
301,20,15,Moderate,3.3
302,5,70,Low,0.7
303,15,15,Low,0.6
304,15,15,Low,1.2
305,17,200,Moderate,3.4
306,11,40,Low,1.2
307,11,72,Low,4
308,8,NA,Low,0.1
309,8,50,Moderate,2.6
310,4,NA,Low,1
311,NA,NA,None,NA
312,NA,6,None,NA
313,NA,25,Low,4.6
314,NA,NA,None,NA
315,NA,25,Low,4.5
316,NA,NA,None,NA
317,NA,60,None,3.7
318,NA,75,None,4.5
319,NA,2,Low,NA
320,NA,20,Low,3.9
321,NA,10,Low,5.1
322,NA,80,None,4.6
323,NA,60,Low,2.5
324,NA,200,None,3.4
325,NA,160,None,2
326,NA,30,Low,1.6
327,10,30,Low,3.27
328,NA,80,Low,2.1
329,20,59,Low,3.1
330,17,40,None,2.7
331,17,85,None,2
332,NA,50,Low,2.4
333,13,15,Low,1.9
334,NA,54,None,1.5
335,NA,NA,Low,NA
336,5,100,Low,NA
337,7,150,None,2
338,11,110,Low,1.8
339,26,73,Low,1.1
340,NA,15,Low,1.7
341,11,20,Low,1
342,11,73,None,1.5
343,17,90,None,2.1
344,9,160,None,1.6
345,15,NA,Low,1.2
346,6,30,Low,1.4
347,7,90,Low,2.8
348,NA,10,Low,1.2
349,4,125,Moderate,9.5
350,5,10,Low,6.2
351,9,120,Low,8.8
352,24,60,Low,4
353,24,45,Low,3
354,22,60,None,1.6
355,5,7,Low,4.4
356,9,36,None,1.2
357,6,80,None,2.1
358,NA,12,Low,5.2
359,15,60,Low,1.5
360,5,40,Low,1.1
361,4,130,None,1.3
362,7,100,None,0.6
363,5,70,Low,0.8
364,5,79,Low,1.1
365,5,NA,Low,2.1
366,5,60,Low,2.8
367,15,20,Low,1.2
368,4,180,None,1.8
369,27,60,Low,0.7
370,26,40,Low,2.2
371,9,20,Low,1.3
372,10,70,Low,1
373,5,60,Low,0.6
374,15,2,Low,0.6
375,9,95,Low,0.7
376,NA,60,None,3.4
377,20,60,Low,5.8
378,5,30,Low,1.7
379,15,10,Low,0.6
380,15,10,Low,1.3
381,17,15,Low,1.4
382,11,15,Low,0.7
383,11,170,None,1.5
384,8,20,Low,0.1
385,8,25,Moderate,0.6
386,4,20,Low,1.1
387,NA,NA,None,NA
388,NA,75,None,0.4
389,NA,30,Low,4.8
390,NA,10,Low,NA
391,NA,2,Low,5
392,NA,25,Low,4.2
393,NA,60,Low,4.3
394,NA,5,Moderate,3.6
395,NA,50,None,2.4
396,NA,15,Moderate,2.9
397,NA,50,Low,6.2
398,10,45,Low,3.94
399,NA,62,Low,2.8
400,20,24,High,75
401,17,50,None,4.6
402,17,57,Low,2
403,NA,4,Moderate,230
404,13,10,Low,4.8
405,NA,NA,None,1.8
406,NA,40,Low,NA
407,5,27,Low,NA
408,7,75,None,1.4
409,11,16,Moderate,1.8
410,26,NA,High,NA
411,NA,NA,Low,3.1
412,11,17,Low,3.7
413,11,130,Low,2.4
414,17,200,None,2.3
415,9,80,None,0.7
416,15,9,Moderate,0.4
417,6,60,Low,7.7
418,7,60,Moderate,0.7
419,NA,86,Low,0.5
420,4,15,Moderate,2.2
421,5,100,Low,3.5
422,9,100,Low,7.4
423,24,80,Low,1.1
424,24,90,Low,0.8
425,22,200,None,2.2
426,5,150,Low,3.2
427,9,200,Low,1.8
428,6,170,None,1.1
429,NA,56,Low,3.1
430,15,60,Low,0.2
431,5,160,Low,2.6
432,4,300,None,0.7
433,7,300,None,1.8
434,5,150,Low,0.7
435,5,150,Low,30
436,5,75,Low,12.5
437,5,70,Low,5.6
438,15,100,Low,1.2
439,4,160,None,0.9
440,27,60,Low,0.7
441,26,150,Low,0.8
442,9,60,Low,1.1
443,10,150,Low,0.3
444,5,100,Low,0.1
445,15,100,Low,0.6
446,9,82,None,0.1
